Id,Name,state,new_zip,state_consistent,input_address,matched_address
006WR00000wkA97YAE,Arbol Residences of Santa Rosa,CA,95403,True,"300 Fountaingrove Pkwy, Santa Rosa, CA, Santa Rosa, CA, ","300 FOUNTAINGROVE PKWY, SANTA ROSA, CA, 95403"
006WR00000wkDNEYA2,Greystone Ridge Townhomes,CA,92071,True,"8777 Graves Avenue, Santee, CA, Santee, CA, ","8777 GRAVES AVE, SANTEE, CA, 92071"
006WR00000wjqDNYAY,The Brooke Apartments,TX,76502,True,"2402 South 61st Street, Temple, TX, Temple, TX, ","2402 S 61ST ST, TEMPLE, TX, 76502"
006WR00000wkBFtYAM,58 Space Garden Spot Mobile Home Park,AZ,85204,True,"32 South Barkley, Mesa, AZ, Mesa, AZ, ","32 S BARKLEY, MESA, AZ, 85204"
006WR00000wjqD9YAI,Summit Ridge,TX,76502,True,"5433 205 Loop, Temple, TX, Temple, TX, ","5433 205 LOOP, TEMPLE, TX, 76502"
006WR00000wkBTnYAM,5300 South Drexel,IL,60615,True,"5301 S Drexel Blvd, Chicago, IL, Chicago, IL, ","5301 S DREXEL AVE, CHICAGO, IL, 60615"
006WR00000wkBV0YAM,1321 E. 57th St,IL,60637,True,"1321 East 57th Street, Chicago, IL, Chicago, IL, ","1321 E 57TH ST, CHICAGO, IL, 60637"
006WR00000wkBnnYAE,Greenwood 5201,IL,60615,True,"5201 SÂ GreenwoodÂ Ave, Chicago, IL, ","5201 S GREENWOOD AVE, CHICAGO, IL, 60615"
006WR00000wkBUZYA2,5535 S. Kimbark Avenue,IL,60637,True,"5536 S. Kimbark Avenue, Chicago, IL, ","5536 S KIMBARK AVE, CHICAGO, IL, 60637"
006WR00000wkBoDYAU,Bell Katy Trail,TX,75201,True,"3033 Routh Street, Dallas, Dallas, TX, ","3033 ROUTH ST, DALLAS, TX, 75201"
006WR00000wkDOqYAM,Woodlake Apartments,CA,92027,True,"2240 Bear Valley Pkwy, Escondido, California, Escondido, CA, ","2240 BEAR VALLEY PKWY, ESCONDIDO, CA, 92027"
006WR00000wk3PFYAY,Liberty Manor,TX,78642,True,"122 Bailey Lane, Liberty Hill, TX, Austin, TX, ","122 BAILEY LN, LIBERTY HILL, TX, 78642"
006WR00000wk9SrYAI,Cottonwood Apartments East,NE,68132,True,"1115 North 48th Avenue, Omaha, NE, Omaha, NE, ","1115 N 48TH AVE, OMAHA, NE, 68132"
006WR00000yvxC6YAI,Hygeia Court HOA,CA,92024,True,"205 Hygeia Ct, Encinitas, CA, ","205 HYGEIA CT, ENCINITAS, CA, 92024"
006WR00000wkBoPYAU,Axis at Wycliff,TX,75219,True,"4343 Congress Avenue, Dallas, TX, Dallas, TX, ","4343 CONGRESS AVE, DALLAS, TX, 75219"
006WR00000wkCkBYAU,Evans Tower,NE,68110,True,"3600 N 24th St, Omaha, NE, Omaha, NE, ","3600 N 24TH ST, OMAHA, NE, 68110"
006WR00000wkDNDYA2,Woodglen Vista Apartments,CA,92071,True,"10450 North Magnolia Avenue, Santee, CA, Santee, CA, ","10450 N MAGNOLIA AVE, SANTEE, CA, 92071"
006WR00000wkDNOYA2,Park,CA,92025,True,"776 E Mission Ave, Escondido, California, Escondido, CA, ","776 E MISSION AVE, ESCONDIDO, CA, 92025"
006WR00000wkBUNYA2,5487-5491 S. Hyde Park Boulevard,IL,60615,True,"5487-5491 S. Hyde Park Boulevard, Chicago, IL, ","5491 S HYDE PARK BLVD, CHICAGO, IL, 60615"
006WR00000wk9ThYAI,The Tradition,CA,92011,True,"1901 Cassia Rd, Carlsbad, CA, Carlsbad, CA, ","1901 CASSIA RD, CARLSBAD, CA, 92011"
006WR00000wkACBYA2,Oak Manor,CA,92084,True,"1575 Oak Drive, Vista, CA, Vista, CA, ","1575 OAK DR, VISTA, CA, 92084"
006WR00000wkDNoYAM,Rancho Brea,CA,92821,True,"1414 W Central Ave, Brea, CA, ","1414 W CENTRAL AVE, BREA, CA, 92821"
006WR00000wkDP1YAM,Imperial Escondido Mobile Estates,CA,92027,True,"2300 East Valley Parkway, Escondido, CA, Escondido, CA, ","2300 E VALLEY PKWY, ESCONDIDO, CA, 92027"
006WR00000wkBUyYAM,1101 E. Hyde Park Boulevard,IL,60615,True,"1102 East Hyde Park Boulevard, Chicago, IL, Chicago, IL, ","1102 E HYDE PARK BLVD, CHICAGO, IL, 60615"
006WR00000wjKG4YAM,Hangar 19,TX,76155,True,"14251 FAA Boulevard, Fort Worth, TX, Fort Worth, TX, ","14251 FAA BLVD, FORT WORTH, TX, 76155"
006WR00000wkA74YAE,Goldfinch Meadows,IA,52404,True,"6138 Dean Rd SW, Cedar Rapids, IA, Cedar Rapids, IA, ","6138 DEAN RD SW, CEDAR RAPIDS, IA, 52404"
006WR00000wj8KyYAI,5237-5245 S. Kenwood Avenue,IL,60615,True,"5237 South Kenwood Avenue, Chicago, IL, Chicago, IL, ","5237 S KENWOOD AVE, CHICAGO, IL, 60615"
006WR00000wkDOfYAM,Country Hills Apartment Homes,CA,92821,True,"2540 Country Hills Rd, Brea, CA, Brea, CA, ","2540 COUNTRY HILLS RD, BREA, CA, 92821"
006WR00000wkBnoYAE,Harper Court,IL,60615,True,"5209 SÂ HarperÂ Avenue, Chicago, IL, ","5209 S HARPER AVE, CHICAGO, IL, 60615"
006WR00000wkBUYYA2,5533 S. Blackstone,IL,60637,True,"5534 S. Blackstone, Chicago, IL, ","5534 S BLACKSTONE AVE, CHICAGO, IL, 60637"
006WR00000wkAVYYA2,French Quarter,CO,80224,True,"1150 South Monaco Parkway, Denver, CO, Denver, CO, ","1150 S MONACO PKWY, DENVER, CO, 80224"
006WR00000wjqCcYAI,Peters Colony apartments,TX,75007,True,"1810 East Peters Colony Road, Carrollton, TX, Carrollton, TX, ","1810 PETERS COLONY RD E, CARROLLTON, TX, 75007"
006WR00000wkDO0YAM,Hendrix Apartments,CA,92026,True,"439 West El Norte Parkway, Escondido, CA, Escondido, CA, ","439 W EL NORTE PKWY, ESCONDIDO, CA, 92026"
006WR00000ywTa9YAE,127 W Glaucus St - A,CA,92024,True,"127 W GLAUCUS ST - A, Encinitas, CA, ","127 W GLAUCUS ST, ENCINITAS, CA, 92024"
006WR00000yvv0eYAA,Coral Cove HOA,CA,92024,True,"200 Coral Cove Way, Encinitas, CA, ","200 CORAL COVE WAY, ENCINITAS, CA, 92024"
006WR00000wk9ZlYAI,Springhill Ridge in Omaha,NE,68136,True,"15735 Rosewood Street, Omaha, NE, Omaha, NE, ","15735 ROSEWOOD ST, OMAHA, NE, 68136"
006WR00000wjnPMYAY,The Mill,NE,68104,True,"6152 Military Avenue, Omaha, NE, Omaha, NE, ","6152 MILITARY AVE, OMAHA, NE, 68104"
006WR00000wk9ZLYAY,Old Grove,CA,92057,True,"235 Via Pelicano, Oceanside, CA, Oceanside, CA, ","235 VIA PELICANO, OCEANSIDE, CA, 92057"
006WR00000wkBU9YAM,5401-5409 S. Cottage Grove Avenue,IL,60615,True,"5401-5409 S. Cottage Grove Avenue, Chicago, IL, ","5409 S COTTAGE GROVE AVE, CHICAGO, IL, 60615"
006WR00000wkC6YYAU,The Centerline Apartments,NE,68106,True,"7007 Oak Street, Omaha, NE, Omaha, NE, ","7007 OAK ST, OMAHA, NE, 68106"
006WR00000wj8KYYAY,5100-5120 S. Ellis Avenue,IL,60615,True,"5100-5120 South Ellis Avenue, Chicago, IL, Chicago, IL, ","5120 S ELLIS AVE, CHICAGO, IL, 60615"
006WR00000wk9ZwYAI,Tranquility Pointe,NE,68164,True,"4345 N 126th Ct, Omaha, NE, Omaha, NE, ","4345 N 126TH CT, OMAHA, NE, 68164"
006WR00000wkBpqYAE,The Cooper Apartments,TX,76104,True,"1001 W Rosedale St, Fort Worth, TX, Fort Worth, TX, ","1001 W ROSEDALE ST, FORT WORTH, TX, 76104"
006WR00000ywTDZYA2,512-514 Via De La Valle,CA,92075,True,"512-514 Via De La Valle, Solana Beach, CA, ","514 VIA DE LA VALLE, SOLANA BEACH, CA, 92075"
006WR00000ywSuDYAU,Santa Fe Business Park,CA,92024,True,"179 Calle Magdalena, Encinitas, CA, ","179 CLL MAGDALENA, ENCINITAS, CA, 92024"
006WR00000wk3P2YAI,Westdale Court Apartments,IA,52404,True,"2155 Westdale Drive Southwest, Cedar Rapids, IA, CEDAR RAPIDS, IA, ","2155 WESTDALE DR SW, CEDAR RAPIDS, IA, 52404"
006WR00000wkBFJYA2,Sunny Creek Estates,NY,14511,True,"834 State Street, Mumford, NY, Mumford, NY, ","834 STATE ST, MUMFORD, NY, 14511"
