SF_Id,Name,Object,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yLp2AI,AGR-0600,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLp2AI"", ""Name"": ""AGR-0600"", ""Opportunity__c"": ""006WR00000wkDudYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDudYAE""}, ""Name"": ""Strathmore Arms Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLq2AI,AGR-0601,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLq2AI"", ""Name"": ""AGR-0601"", ""Opportunity__c"": ""006WR00000wkDudYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDudYAE""}, ""Name"": ""Strathmore Arms Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLs2AI,AGR-0603,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLs2AI"", ""Name"": ""AGR-0603"", ""Opportunity__c"": ""006WR00000wkDueYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDueYAE""}, ""Name"": ""University Club Apartments (Nac)""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLt2AI,AGR-0604,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLt2AI"", ""Name"": ""AGR-0604"", ""Opportunity__c"": ""006WR00000wkDueYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDueYAE""}, ""Name"": ""University Club Apartments (Nac)""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLv2AI,AGR-0606,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLv2AI"", ""Name"": ""AGR-0606"", ""Opportunity__c"": ""006WR00000wkDufYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDufYAE""}, ""Name"": ""714 Veteran""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLw2AI,AGR-0607,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLw2AI"", ""Name"": ""AGR-0607"", ""Opportunity__c"": ""006WR00000wkDufYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDufYAE""}, ""Name"": ""714 Veteran""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLy2AI,AGR-0609,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLy2AI"", ""Name"": ""AGR-0609"", ""Opportunity__c"": ""006WR00000wkDugYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDugYAE""}, ""Name"": ""University Square Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLz2AI,AGR-0610,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLz2AI"", ""Name"": ""AGR-0610"", ""Opportunity__c"": ""006WR00000wkDugYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDugYAE""}, ""Name"": ""University Square Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yM32AI,AGR-0614,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yM32AI"", ""Name"": ""AGR-0614"", ""Opportunity__c"": ""006WR00000wkDuiYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuiYAE""}, ""Name"": ""Summerset Village Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yM42AI,AGR-0615,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yM42AI"", ""Name"": ""AGR-0615"", ""Opportunity__c"": ""006WR00000wkDuiYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuiYAE""}, ""Name"": ""Summerset Village Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
