Id,Name,StageName,Loss_Reason__c,Probability,OwnerId,Owner_Name,RecordType
006WR00000wkDMUYA2,The Holston,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClqYAE,The Lyric at Keller Center Stage,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClTYAU,The Palo Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClcYAE,The Palo Townhomes,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDMAYA2,The Peaks Townhomes,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClHYAU,The Remington,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wj8KaYAI,The Village at Grant Square,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCkrYAE,Town And Country RV Park,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCleYAE,Tucker Apts AKA Brickstone Villas,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkCltYAE,Twin creek,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkCjsYAE,Vaughan Manor Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA90YAE,Villa Del Rey _ FF Freddy,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wk9T7YAI,Village West Apartments_Morris RE,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCjDYAU,Villa Vinee Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA8nYAE,Ville de Sante Terrace Apartments (1),Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCliYAE,Watermere at the Preserve,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkA6bYAE,Woodgate Townhomes,Prospects,,5,005WR00000DE3zRYAT,Jeff Chao,MDU/SFU
006WR00000wkCjoYAE,Woodgate Townhomes,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA7zYAE,Wyndham Hill,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
