SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR00000wkEaSYAU,White Oak Terrace,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEagYAE,Jaclyn Terrace,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEaQYAU,Woodland Trio The Oaks,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEaoYAE,Vista Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEanYAE,Topanga Terrace,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEaaYAE,Colonial Manor Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEaZYAU,Coliseum Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEamYAE,Topanga Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEaVYAU,Chatsworth Plaza,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEapYAE,The Palms,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEaXYAU,Casa Linda,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbKYAU,The Meadows at Westlake Village,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEbLYAU,Brookside Terrace Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEaRYAU,Baldwin Manor,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEalYAE,The Banyans,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEaTYAU,Bali Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
006WR00000wkEajYAE,Roxanne Apartments,MDU_Categorization__c,,OffNet,Signed MDU Agreement Analysis V1.xlsx,2026-05-19T15-08-45,update
