SF_Id,Name,Action,Field,Before,After,Opp,Source,Result,Timestamp
006WR00000wkEafYAE,Kling Trio Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Kling Trio Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEafYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:52.409438
006WR00000wkEagYAE,Jaclyn Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Jaclyn Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEagYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:52.768656
006WR00000wkEahYAE,Brody Terrace (Riverside),SET_ACCOUNT,AccountId,,Jones & Jones Communities,Brody Terrace (Riverside),Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEahYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:53.124911
006WR00000wkEaiYAE,Parkview Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Parkview Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaiYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:53.482530
006WR00000wkEajYAE,Roxanne Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Roxanne Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEajYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:53.891674
006WR00000wkEakYAE,Riverside Villa Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Riverside Villa Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEakYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:54.146714
006WR00000wkEalYAE,The Banyans,SET_ACCOUNT,AccountId,,Jones & Jones Communities,The Banyans,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEalYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:54.460975
006WR00000wkEamYAE,Topanga Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Topanga Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEamYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:54.781344
006WR00000wkEanYAE,Topanga Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Topanga Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEanYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:55.105741
006WR00000wkEaoYAE,Vista Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Vista Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000wkEaoYAE. Response content: [{'message': 'Owner is inactive, cannot reparent the account', 'errorCode': 'CANNOT_REPARENT_RECORD', 'fields': ['AccountId']}]",2026-06-11T08:37:55.430654
