Site Name,SF Id,SF Name,Units,Action,Owner,Record Type,Stage: from,Stage: to,Loss Reason: from,Loss Reason: to,Fields changing,HOLD - needs a human
Fort Worth_MDU_North Park Landing Apartments,006WR00000wkDMGYA2,North Park Landing Apartments,226,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Fort Worth_MDU_The Holston,006WR00000wkDMUYA2,The Holston,265,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Fort Worth_MDU_The Palo Apartments,006WR00000wkClTYAU,The Palo Apartments,325,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Fort Worth_MDU_The Palo Townhomes,006WR00000wkClcYAE,The Palo Townhomes,120,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Georgetown_MDU_Georgetown Place Apartments,006WR00000wkDMOYA2,Georgetown Place Apartments,178,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Georgetown_MDU_New Life RV Park,006WR00000wkAByYAM,New Life RV Park,95,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Harker Heights_MDU_Height_at_701_ Apartments,006WR00000wkDMNYA2,Heights at 701,351,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
KILLEEN_MDU_Nolan Creek Mobile Park,006WR00000wkDtDYAU,Nolan Creek Mobile Park,33,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
KIlleen_MDU_Marlboro_Heights_Mobile_Park,006WR00000wkDtAYAU,Marlboro_Heights_Mobile Home_Park,39,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Keller_MDU_Churchill at Golden Triangle,006WR00000wkA98YAE,Churchill at Golden Triangle,99,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Keller_MDU_Elan at Keller Ranch,006WR00000wkCloYAE,Elan at Keller Ranch,300,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Keller_MDU_Riverside Villas,006WR00000wk9SuYAI,Riverside Villas,193,Move to Propspects,Melissa Baker,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Keller_MDU_The Lyric at Keller Center Stage,006WR00000wkClqYAE,The Lyric at Keller Center Stage,475,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Killeen_MDU_408-420 E Hallmark Ave,006WR00000wkDtEYAU,Killeen_MDU_408-420 E Hallmark Ave,28,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Killeen_MDU_512 W Green Ave,006WR00000wk9T9YAI,Killeen_MDU_512 W Green Ave_Morris RE,30,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Killeen_MDU_Century Plaza,006WR00000wkCjPYAU,Century Plaza,256,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Killeen_MDU_John Wesley Arms,006WR00000wkDtIYAU,John Wesley Arms,28,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Killeen_MDU_Las Palmas,006WR00000wkDtJYAU,Las Palmas,28,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Killeen_MDU_Quail Hollow Apts,006WR00000wk9T8YAI,Quail Hollow Apts_Morris RE,32,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Killeen_MDU_Terence Villa,006WR00000wk9T6YAI,Terrace Villa_Morris RE,40,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Killeen_MDU_The Chateau West Apartments,006WR00000wkC7xYAE,Chateau West Apartments,56,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Killeen_MDU_Villa Del Rey Apartments,006WR00000wkA90YAE,Villa Del Rey _ FF Freddy,36,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Killeen_MDU_Village West Apartments,006WR00000wk9T7YAI,Village West Apartments_Morris RE,36,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Mineral Wells_MDU_Heritage Manor,006WR00000wkABsYAM,Heritage Manor,74,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Mineral Wells_MDU_Sandstone Foothills Apartments,006WR00000wkDM6YAM,Sandstone Foothills Apartments,41,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Mineral Wells_MDU_Southridge Apartments,006WR00000wkCjQYAU,Southridge Apartments,41,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Mineral Wells_MDU_The Peaks Townhomes,006WR00000wkDMAYA2,The Peaks Townhomes,85,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
OMAHA_MDU_58TH_Plaza_CIR,006WR00000wkDtOYAU,OMAHA_MDU_58TH_Plaza_CIR,29,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
OMAHA_MDU_Town And Country RV Park,006WR00000wkCkrYAE,Town And Country RV Park,101,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Astoria Senior Living,006WR00000wkArrYAE,Astoria Senior Living,155,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Camelot Village,006WR00000wj8KcYAI,Camelot Village,485,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Caravelle Apartments,006WR00000wkA8pYAE,Caravelle Apartments,29,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Cherry Tree Apartments,006WR00000wkDtNYAU,Omaha_MDU_Cherry Tree Apartments,32,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Corby Castle Apts,006WR00000wkA8tYAE,Corby Castle Apts,36,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Corby Street Apartments,006WR00000wkDMEYA2,Corby Street Apartments,36,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Coronado Condominiums,006WR00000wkA8vYAE,Coronado Condominiums,48,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Cypress Pointe II Apartment Complex,006WR00000wkA8wYAE,Cypress Pointe II Apartment Complex,80,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Dundee View Apartments,006WR00000wkA6VYAU,Dundee View,70,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Florentine Apartments,006WR00000wj8KLYAY,Juniper Gardens,174,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Hillside Park Apartments,006WR00000wkA8gYAE,Hillside Park Apartments,32,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Hillside Rows Apts,006WR00000wkCjqYAE,Hillside Rows Apts,32,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Laurel Hill Apartments,006WR00000wkA8rYAE,Laurel Hill Apartments,36,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Loveland by Broadmoor,006WR00000wkC73YAE,Loveland by Broadmoor,73,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Luma Lane Apartments,006WR00000wkBTzYAM,Luma Lane Apartments,30,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Maplewood Court Apartments,006WR00000wkA8FYAU,Maplewood Court Apartments,52,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_New Towne West Apts,006WR00000wkCkZYAU,New Towne West Apts,119,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Park Crest,006WR00000wkA8eYAE,Park Crest,45,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Peony Village Apartments,006WR00000wj8KeYAI,Peony Village,150,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Pine Tree Apartments,006WR00000wj8KsYAI,Pine Tree Apartments,199,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Prairie Spring Apartments,006WR00000wj8KIYAY,Prairie Spring Apartments,121,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Sorensen Heights,006WR00000wiNoNYAU,Sorensen Heights,75,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Sorensen Square Apartments,006WR00000wj8KXYAY,Residences at Sorensen Square,84,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Swanson Towers Condominiums,006WR00000wkCkeYAE,Swanson Towers Condominiums,54,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_The Colonial,006WR00000wjnlaYAA,The Colonial Apartments Broadmoor,258,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_The Village at Grant Square Apartments,006WR00000wj8KaYAI,The Village at Grant Square,201,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Vaughan Manor Apartments,006WR00000wkCjsYAE,Vaughan Manor Apartments,30,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Villa Vinee Apartments,006WR00000wkCjDYAU,Villa Vinee Apartments,217,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Ville de Sante Terrace Apartments,006WR00000wkA8nYAE,Ville de Sante Terrace Apartments (1),36,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Wyndham Hill & Villas by Broadmoor,006WR00000wkA7zYAE,Wyndham Hill,136,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Omaha_MDU_Wyndham Villas by Broadmoor,006WR00000wiNonYAE,Wyndham Villas - Broadmoor,82,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
TAYLOR_MDU_DEBUS_APTS,006WR00000wkCjhYAE,TAYLOR_MDU_DEBUS_APTS AKA Boxwoods at Taylor Condo Community,30,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Taylor_MDU_Bull Run Apts,006WR00000wkAC0YAM,Bull Run Apts,16,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Taylor_MDU_Burnett Place Apartments,006WR00000wkC7vYAE,Burnett Place Apartments,73,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
