SF_Id,Agreement_Name,Action,Before,After,Opp,Source,Result,Timestamp
a0BWR0000083yDm2AI,AGR-0201,DELETE_PAL,PAL/Completed,(deleted),Tuscana Townhomes,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508231
a0BWR0000083yDn2AI,AGR-0202,DELETE_PAL,PAL/Completed,(deleted),Moonlight,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508242
a0BWR0000083yDo2AI,AGR-0203,DELETE_PAL,PAL/Completed,(deleted),Porvenir Estates II,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508253
a0BWR0000083yDp2AI,AGR-0204,DELETE_PAL,PAL/Completed,(deleted),Porvenir Estates I,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508264
a0BWR0000083yDq2AI,AGR-0205,DELETE_PAL,PAL/Completed,(deleted),Huron Plaza,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508275
a0BWR0000083yDr2AI,AGR-0206,DELETE_PAL,PAL/Completed,(deleted),Niland,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508285
a0BWR0000083yDs2AI,AGR-0207,DELETE_PAL,PAL/Completed,(deleted),Placer West,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508295
a0BWR0000083yDt2AI,AGR-0208,DELETE_PAL,PAL/Completed,(deleted),The Shadows Garden Apts,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508306
a0BWR0000083yDu2AI,AGR-0209,DELETE_PAL,PAL/Completed,(deleted),Harvard,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508317
a0BWR0000083yDv2AI,AGR-0210,DELETE_PAL,PAL/Completed,(deleted),12th & D Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508328
a0BWR0000083yDw2AI,AGR-0211,DELETE_PAL,PAL/Completed,(deleted),Creekside Colony Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508340
a0BWR0000083yDx2AI,AGR-0212,DELETE_PAL,PAL/Completed,(deleted),Park on Riley,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508351
a0BWR0000083yDy2AI,AGR-0213,DELETE_PAL,PAL/Completed,(deleted),Sierra Oaks Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508361
a0BWR0000083yE02AI,AGR-0215,DELETE_PAL,PAL/Completed,(deleted),Katy Creek,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508372
a0BWR0000083yE12AI,AGR-0216,DELETE_PAL,PAL/Completed,(deleted),Breckenridge Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508383
a0BWR0000083yE22AI,AGR-0217,DELETE_PAL,PAL/Completed,(deleted),Crestmoor Park South,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508393
a0BWR0000083yE32AI,AGR-0218,DELETE_PAL,PAL/Completed,(deleted),Crestmoor Park West,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508404
a0BWR0000083yE42AI,AGR-0219,DELETE_PAL,PAL/Completed,(deleted),Comanche Retirement Village,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508425
a0BWR0000083yE52AI,AGR-0220,DELETE_PAL,PAL/Completed,(deleted),Dekalb Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508437
a0BWR0000083yE62AI,AGR-0221,DELETE_PAL,PAL/Completed,(deleted),Colony Park Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508447
a0BWR0000083yE72AI,AGR-0222,DELETE_PAL,PAL/Completed,(deleted),Camelot Square Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508459
a0BWR0000083yE82AI,AGR-0223,DELETE_PAL,PAL/Completed,(deleted),Somervell Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508470
a0BWR0000083yE92AI,AGR-0224,DELETE_PAL,PAL/Completed,(deleted),Glen Rose Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508480
a0BWR0000083yEA2AY,AGR-0225,DELETE_PAL,PAL/Completed,(deleted),Emerald RV,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508491
a0BWR0000083yEB2AY,AGR-0226,DELETE_PAL,PAL/Completed,(deleted),Allen's Point Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508502
a0BWR0000083yED2AY,AGR-0228,DELETE_PAL,PAL/Completed,(deleted),Kaufman Retirement Village (fka Cedar Ridge),Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508513
a0BWR0000083yEE2AY,AGR-0229,DELETE_PAL,PAL/Completed,(deleted),Commonwealth I,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508525
a0BWR0000083yEF2AY,AGR-0230,DELETE_PAL,PAL/Completed,(deleted),Regal Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508536
a0BWR0000083yEG2AY,AGR-0231,DELETE_PAL,PAL/Completed,(deleted),Waterwood Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508546
a0BWR0000083yEH2AY,AGR-0232,DELETE_PAL,PAL/Completed,(deleted),Venus Retirement Village,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508557
a0BWR0000083yEI2AY,AGR-0233,DELETE_PAL,PAL/Completed,(deleted),Whitney Place Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508568
a0BWR0000083yEJ2AY,AGR-0234,DELETE_PAL,PAL/Completed,(deleted),Whitney Retirement Village,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508579
a0BWR0000083yGR2AY,AGR-0366,DELETE_PAL,PAL/Completed,(deleted),Cedar Nettleton Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508591
a0BWR0000083yJL2AY,AGR-0446,DELETE_PAL,PAL/Completed,(deleted),Haley Ranch Estates,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508602
006WR00000ywT77YAE,Pacifica HOA,ADVANCE_STAGE,Prospects,PAL/ROE Complete,Pacifica HOA,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,preview,2026-06-05T14:19:12.508616
