Id,Name,Agreement_Name__c,StageName,Loss_Reason__c
006WR00000wkA90YAE,Villa Del Rey _ FF Freddy,Killeen_MDU_Villa Del Rey Apartments,Prospects,No Contact Info
006WR00000wkA98YAE,Churchill at Golden Triangle,Keller_MDU_Churchill at Golden Triangle,Prospects,No Contact Info
006WR00000wkA9KYAU,River Oaks Apartments,Killeen_MDU_River Oaks Apartments,Prospects,No Contact Info
006WR00000wkAByYAM,New Life RV Park,Georgetown_MDU_New Life RV Park,Prospects,No Contact Info
006WR00000wkAC0YAM,Bull Run Apts,Taylor_MDU_Bull Run Apts,Prospects,No Contact Info
006WR00000wkArrYAE,Astoria Senior Living,Omaha_MDU_Astoria Senior Living,Prospects,No Contact Info
006WR00000wkC7vYAE,Burnett Place Apartments,Taylor_MDU_Burnett Place Apartments,Prospects,No Contact Info
006WR00000wkC7xYAE,Chateau West Apartments,Killeen_MDU_The Chateau West Apartments,Prospects,No Contact Info
006WR00000wkCjDYAU,Villa Vinee Apartments,Omaha_MDU_Villa Vinee Apartments,Prospects,No Contact Info
006WR00000wkCjPYAU,Century Plaza,Killeen_MDU_Century Plaza,Prospects,No Contact Info
006WR00000wkCjQYAU,Southridge Apartments,Mineral Wells_MDU_Southridge Apartments,Prospects,No Contact Info
006WR00000wkCjfYAE,Stone Hill Apartments,Decatur_MDU_Stone Hill Apartments,Prospects,No Contact Info
006WR00000wkCjhYAE,TAYLOR_MDU_DEBUS_APTS AKA Boxwoods at Taylor Condo Community,TAYLOR_MDU_DEBUS_APTS,Prospects,No Contact Info
006WR00000wkCjoYAE,Woodgate Townhomes,Omaha_MDU_Woodgate Townhomes,Prospects,No Contact Info
006WR00000wkCjqYAE,Hillside Rows Apts,Omaha_MDU_Hillside Rows Apts,Prospects,No Contact Info
006WR00000wkCkZYAU,New Towne West Apts,Omaha_MDU_New Towne West Apts,Prospects,No Contact Info
006WR00000wkCkeYAE,Swanson Towers Condominiums,Omaha_MDU_Swanson Towers Condominiums,Prospects,No Contact Info
006WR00000wkCkrYAE,Town And Country RV Park,OMAHA_MDU_Town And Country RV Park,Prospects,No Contact Info
006WR00000wkClTYAU,The Palo Apartments,Fort Worth_MDU_The Palo Apartments,Prospects,No Contact Info
006WR00000wkCljYAE,Eagle's Point Apartments,Fort Worth_MDU_Eagle's Point Apartments,Prospects,No Contact Info
006WR00000wkCloYAE,Elan at Keller Ranch,Keller_MDU_Elan at Keller Ranch,Prospects,No Contact Info
006WR00000wkClqYAE,The Lyric at Keller Center Stage,Keller_MDU_The Lyric at Keller Center Stage,Prospects,No Contact Info
006WR00000wkDM7YAM,Garden Gate Apartments,Fort Worth_MDU_Garden Gate Apartments,Prospects,No Contact Info
006WR00000wkDMAYA2,The Peaks Townhomes,Mineral Wells_MDU_The Peaks Townhomes,Prospects,No Contact Info
006WR00000wkDMEYA2,Corby Street Apartments,Omaha_MDU_Corby Street Apartments,Prospects,No Contact Info
006WR00000wkDMGYA2,North Park Landing Apartments,Fort Worth_MDU_North Park Landing Apartments,Prospects,No Contact Info
006WR00000wkDMKYA2,Legacy Riverside Senior Living,Fort Worth_MDU_Legacy Riverside Senior Living,Prospects,No Contact Info
006WR00000wkDMOYA2,Georgetown Place Apartments,Georgetown_MDU_Georgetown Place Apartments,Prospects,No Contact Info
006WR00000wkDtAYAU,Marlboro_Heights_Mobile Home_Park,KIlleen_MDU_Marlboro_Heights_Mobile_Park,Prospects,No Contact Info
006WR00000wkDtDYAU,Nolan Creek Mobile Park,KILLEEN_MDU_Nolan Creek Mobile Park,Prospects,No Contact Info
006WR00000wkDtEYAU,Killeen_MDU_408-420 E Hallmark Ave,Killeen_MDU_408-420 E Hallmark Ave,Prospects,No Contact Info
006WR00000wkDtIYAU,John Wesley Arms,Killeen_MDU_John Wesley Arms,Prospects,No Contact Info
006WR00000wj8KLYAY,Juniper Gardens,Omaha_MDU_Florentine Apartments,Prospects,No Contact Info
006WR00000wj8KaYAI,The Village at Grant Square,Omaha_MDU_The Village at Grant Square Apartments,Prospects,No Contact Info
006WR00000wj8KsYAI,Pine Tree Apartments,Omaha_MDU_Pine Tree Apartments,Prospects,No Contact Info
006WR00000wk9T7YAI,Village West Apartments_Morris RE,Killeen_MDU_Village West Apartments,Prospects,No Contact Info
006WR00000wkA8FYAU,Maplewood Court Apartments,Omaha_MDU_Maplewood Court Apartments,Prospects,No Contact Info
006WR00000wkA8UYAU,Gateway Village Apartments,Azle_MDU_Gateway Village Apartments,Prospects,No Contact Info
006WR00000wkA8gYAE,Hillside Park Apartments,Omaha_MDU_Hillside Park Apartments,Prospects,No Contact Info
006WR00000wkA8wYAE,Cypress Pointe II Apartment Complex,Omaha_MDU_Cypress Pointe II Apartment Complex,Prospects,No Contact Info
006WR00000wkABeYAM,Azlewood,Azle_MDU_Azlewood,Prospects,No Contact Info
006WR00000wkABsYAM,Heritage Manor,Mineral Wells_MDU_Heritage Manor,Prospects,No Contact Info
006WR00000wkBTzYAM,Luma Lane Apartments,Omaha_MDU_Luma Lane Apartments,Prospects,No Contact Info
006WR00000wkC73YAE,Loveland by Broadmoor,Omaha_MDU_Loveland by Broadmoor,Prospects,No Contact Info
006WR00000wkC7yYAE,Quail Run Apartments,Decatur_MDU_Quail Run Apartments,Prospects,No Contact Info
006WR00000wkCjsYAE,Vaughan Manor Apartments,Omaha_MDU_Vaughan Manor Apartments,Prospects,No Contact Info
006WR00000wkClcYAE,The Palo Townhomes,Fort Worth_MDU_The Palo Townhomes,Prospects,No Contact Info
006WR00000wkDM6YAM,Sandstone Foothills Apartments,Mineral Wells_MDU_Sandstone Foothills Apartments,Prospects,No Contact Info
006WR00000wkDMLYA2,Harmon Senior Villas,Fort Worth_MDU_Harmon Senior Villas,Prospects,No Contact Info
006WR00000wkDMNYA2,Heights at 701,Harker Heights_MDU_Height_at_701_ Apartments,Prospects,No Contact Info
006WR00000wkDMUYA2,The Holston,Fort Worth_MDU_The Holston,Prospects,No Contact Info
006WR00000wkDtJYAU,Las Palmas,Killeen_MDU_Las Palmas,Prospects,No Contact Info
006WR00000wkDtNYAU,Omaha_MDU_Cherry Tree Apartments,Omaha_MDU_Cherry Tree Apartments,Prospects,No Contact Info
006WR00000wkDtOYAU,OMAHA_MDU_58TH_Plaza_CIR,OMAHA_MDU_58TH_Plaza_CIR,Prospects,No Contact Info
