SF_Id,Name,Stage,Field,Before,After,Source,Timestamp,Action
006WR00000ywB2AYAU,Villas De La Costa HOA,Prospects,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000ywEb8YAE,Portico At Rancho Carrillo HOA,PAL/ROE Complete,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000ywLuMYAU,Flair Encinitas HOA,Prospects,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000ywSNxYAM,San Pacifico HOA,Prospects,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000ywScTYAU,Alga Hills HOA,Prospects,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000ywT2HYAU,Village Park HOA,PAL/ROE Complete,Sales_Status__c,Contact Pending,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000ywTFBYA2,Las Vistas HOA,PAL/ROE Complete,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR0000117xlTYAQ,1121 SOUTHEAST PKWY AZLE TX,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR0000118WRTYA2,5103 LEAVENWORTH ST OMAHA NE,Engaged,Sales_Status__c,FF Sales - Tenant Interest Required,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kit2YAA,ROE - 10900 FOUNDERS WAY FORT WORTH TX,Closed Lost,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kit3YAA,ROE - 1128 BLUE MOUND W RD FORT WORTH TX,Proposal Sent,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kit5YAA,ROE - 1925 GOLDEN HEIGHTS RD HASLET TX,Contract Negotiations,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR000011kit7YAA,ROE - 200 N KIMBALL AVE SOUTHLAKE TX,Proposal Sent,Sales_Status__c,Reached Out - Pending Response,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
