opp_id,opp_name,opp_site_name,opp_state,opp_city,opp_address,opp_stage,rank,score,confidence,st_name,st_site_name,st_monday_name,st_state,st_city,st_site_status,st_already_linked_to,breakdown
006WR00000wkC7WYAU,Westmount at Urban Trails,Mesa_MDU_Westmount at Urban Trails,AZ,Mesa,"1620 W Southern Ave, Mesa, AZ 85202, USA",Contract Negotiations,2,5,,P-003277,Mesa_MDU_Dobson Greens Condo HOA,Dobson Greens Condo HOA,AZ,Mesa,In Service,Dobson Greens Condo HOA,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wkC7WYAU,Westmount at Urban Trails,Mesa_MDU_Westmount at Urban Trails,AZ,Mesa,"1620 W Southern Ave, Mesa, AZ 85202, USA",Contract Negotiations,3,5,,P-004589,Mesa_MDU_Aspen Ridge,Aspen Ridge,AZ,Mesa,In Service,Aspen Ridge,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wkC7YYAU,Westmount at The District Apartments,Mesa_MDU_Westmount at The District Apartments,AZ,Mesa,"949 South Longmore, Mesa, AZ 85202, USA",Contract Negotiations,1,5,medium,P-002258,Mesa_MDU_Dobson Bay Club HOA,Dobson Bay Club HOA,AZ,Mesa,In Service,Dobson Bay Club HOA,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wkC7YYAU,Westmount at The District Apartments,Mesa_MDU_Westmount at The District Apartments,AZ,Mesa,"949 South Longmore, Mesa, AZ 85202, USA",Contract Negotiations,2,5,,P-003277,Mesa_MDU_Dobson Greens Condo HOA,Dobson Greens Condo HOA,AZ,Mesa,In Service,Dobson Greens Condo HOA,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wkC7YYAU,Westmount at The District Apartments,Mesa_MDU_Westmount at The District Apartments,AZ,Mesa,"949 South Longmore, Mesa, AZ 85202, USA",Contract Negotiations,3,5,,P-004589,Mesa_MDU_Aspen Ridge,Aspen Ridge,AZ,Mesa,In Service,Aspen Ridge,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wkCjMYAU,Gardens of Taylor,Taylor_MDU_Gardens of Taylor,TX,Taylor,"319 Sloan Street, Taylor, TX, USA",Contract Negotiations,1,6,medium,P-004626,Taylor_MDU_Main Street Commons,Main Street Commons,TX,Taylor,Cancelled,Main Street Commons,"state+1; city_exact+3; nametoks['street', 'taylor']+2"
006WR00000wkCjMYAU,Gardens of Taylor,Taylor_MDU_Gardens of Taylor,TX,Taylor,"319 Sloan Street, Taylor, TX, USA",Contract Negotiations,2,5,,P-004627,Taylor_MDU_Lakeside Apartments,Lakeside Apt,TX,Taylor,In Service,Lakeside Apartment Homes,state+1; city_exact+3; nametoks['taylor']+1
006WR00000wkCjMYAU,Gardens of Taylor,Taylor_MDU_Gardens of Taylor,TX,Taylor,"319 Sloan Street, Taylor, TX, USA",Contract Negotiations,3,5,,P-005179,Taylor_MDU_Mallard Run Apartments,Mallard Run Apts,TX,Taylor,In Service,Mallard Run Apartments,state+1; city_exact+3; nametoks['taylor']+1
006WR00000wkDMRYA2,Royal Gardens,Mineral Wells_MDU_Royal Gardens,TX,Mineral Wells,"1500 Southeast Martin Luther King Junior Street, Mineral Wells, TX, USA",Contract Negotiations,,,none,,,,,,,,
006WR00000wkDMXYA2,Pioneer Crossing Apartments,Mineral Wells_MDU_Pioneer Crossing Apartments,TX,Mineral Wells,"2509 East Hubbard Street, Mineral Wells, TX, USA",Contract Negotiations,,,none,,,,,,,,
006WR00000wkEZrYAM,Lakeview Park,,TX,Denison,"1816 Texas 91, Denison, TX, USA",PAL/ROE Complete,1,7,medium,P-006300,Denison_MDU_Heritage Park/Lakeview Park Apartments,Heritage Park/Lakeview Park Apartments,TX,Denison,Future,Heritage Park,"state+1; city_exact+3; nametoks['denison', 'lakeview', 'park']+3"
006WR00000wkEbDYAU,Heritage Oaks,TAYLOR_MDU_Heritage_Oaks_APTS,TX,Taylor,"213 Debus Dr, Taylor, TX 76574, USA",PAL/ROE Complete,1,5,medium,P-004627,Taylor_MDU_Lakeside Apartments,Lakeside Apt,TX,Taylor,In Service,Lakeside Apartment Homes,state+1; city_exact+3; nametoks['taylor']+1
006WR00000wkEbDYAU,Heritage Oaks,TAYLOR_MDU_Heritage_Oaks_APTS,TX,Taylor,"213 Debus Dr, Taylor, TX 76574, USA",PAL/ROE Complete,2,5,,P-004626,Taylor_MDU_Main Street Commons,Main Street Commons,TX,Taylor,Cancelled,Main Street Commons,state+1; city_exact+3; nametoks['taylor']+1
006WR00000wkEbDYAU,Heritage Oaks,TAYLOR_MDU_Heritage_Oaks_APTS,TX,Taylor,"213 Debus Dr, Taylor, TX 76574, USA",PAL/ROE Complete,3,5,,P-005179,Taylor_MDU_Mallard Run Apartments,Mallard Run Apts,TX,Taylor,In Service,Mallard Run Apartments,state+1; city_exact+3; nametoks['taylor']+1
006WR00000wkEcKYAU,Lexington Place (Monterey),,TX,Fort Worth,"11001 Rancho Place, Fort Worth, TX, USA",PAL/ROE Complete,1,6,medium,P-004481,Fort Worth_MDU_Legend Assisted Living,Legend Assisted Living,TX,Fort Worth,In Service,Legend of Fort Worth: Senior Living_OneSource project,"state+1; city_exact+3; nametoks['fort', 'worth']+2"
