SF_Id,Name,Action,Field,Before,After,Source,Result,Timestamp
006WR00000wkEaWYAU,John Manor,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:46.169438
006WR00000wkEaWYAU,John Manor,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:46.540144
006WR00000wkEaXYAU,Casa Linda,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:47.058290
006WR00000wkEaXYAU,Casa Linda,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:47.415431
006WR00000wkEaYYAU,Windsor Manor,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:47.832432
006WR00000wkEaYYAU,Windsor Manor,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:48.230954
006WR00000wkEaZYAU,Coliseum Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:48.876155
006WR00000wkEaZYAU,Coliseum Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:49.273231
006WR00000wkEaaYAE,Colonial Manor Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:49.624398
006WR00000wkEaaYAE,Colonial Manor Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:49.989601
006WR00000wkEabYAE,San Vicente Apartments,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:50.427866
006WR00000wkEabYAE,San Vicente Apartments,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:50.834599
006WR00000wkEacYAE,St. Andrews Manor,REASSIGN_OWNER,OwnerId,005WR00000CXEZyYAP,005WR00000Ewjj3YAB,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:51.304439
006WR00000wkEacYAE,St. Andrews Manor,SET_ACCOUNT,AccountId,(blank),001WR00001SPM7zYAH,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx (reassign+account),ok,2026-06-11T08:47:51.696929
