Id,name,state,st_status,old_property_category,new_property_category,old_mdu_categorization,new_mdu_categorization
006WR00000wkEbkYAE,"Pine Tree Park Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEblYAE,"Goldenstar Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbmYAE,"Evergreen East Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbnYAE,"Sherman Forbes Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbpYAE,"Shadow Green Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbrYAE,"Equinox on Indian School",AZ,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkEbsYAE,"Pomeroy Court",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbuYAE,"Coyote Creek",UT,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbvYAE,"The Traditions Apartments",AZ,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkEbwYAE,"Garden Court Apartments",CO,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbxYAE,"Woodcrest Townhomes",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbyYAE,"Aspen Oaks",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbzYAE,"Highland Shores Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEc0YAE,"Barbary Knoll Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEc1YAE,"Mountain Terrace",CO,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEc2YAE,"Meeker Commons",CO,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEc3YAE,"Capri on Camelback",AZ,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkEc4YAE,"Mansions at Hemingway",IA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEc5YAE,"Benson Crest",NE,On Net,Cat 1,Cat 1,,OnNet
