SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR00000wkACEYA2,Birchwood Apts,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkAkZYAU,Villas Mesa 3,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkAsDYAU,Stillwater Rivulon,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkBG5YAM,1st Avenue Apartments (Old Name - Southwest Villa),Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkBVIYA2,Chappell Oaks Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkBndYAE,Abbey Glenn,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkBpPYAU,The Kyle,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkBqCYAU,Woodchase Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkC7KYAU,Lindenwood Court Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkC7NYAU,1245 W Baseline Rd,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkCk7YAE,Stone View on Horne,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkCl5YAE,Landings,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkCldYAE,Keystone Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkClpYAE,Copper Mountain,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkCmKYAU,Brickstone Villas,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkDO8YAM,Summit Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkDtlYAE,350 E 5th Ave,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
