Id,Name,Next_Action__c,result,detail
006WR00000wkA8nYAE,Ville de Sante Terrace Apartments (1),Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCjoYAE,Woodgate Townhomes,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkA7zYAE,Wyndham Hill,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkAC0YAM,Bull Run Apts,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkC7vYAE,Burnett Place Apartments,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000wkCjhYAE,TAYLOR_MDU_DEBUS_APTS AKA Boxwoods at Taylor Condo Community,Moved from Closed - Contact Info to Prospects per 7/15/2026 call,OK,
006WR00000xw3LLYAY,Bridgeport_MDU_Atrium Garden Apartments,Moved from Closed - Contact Info to Prospects per 7/23/2026 call,OK,
006WR00000wkCjgYAE,Estates of Bridgeport,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkClYYAU,Collection Champions Circle,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDMSYA2,Creekside at North Beach,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkCjOYAU,Northpoint Villas,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkClbYAE,Solea Keller,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDt1YAE,The Harrison at Heritage,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDMQYA2,The Opal Fort Worth,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkCmMYAU,Allora North Georgetown,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDsvYAE,Park_Place (Care Center),Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
006WR00000wkDMZYA2,Parkside Crossing Condominiums,Moved from Closed Lost - No Decision / Non-Responsive to Prospects per 7/23/2026 call,OK,
