Id,Name,Agreement_Name__c,StageName,Loss_Reason__c,Probability,OwnerId,Owner_Name,RecordType
006WR00000wkClgYAE,Country Place,Killeen_MDU_Country Place Apt,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkCm8YAE,Harris Apartments,Killeen_MDU_Harris Apartments,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkClaYAE,Highview Apartments,Killeen_MDU_Highview Apts,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkDtIYAU,John Wesley Arms,Killeen_MDU_John Wesley Arms,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClOYAU,Lakeview Apartments,Killeen_MDU_Lakeview Apts,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkDtJYAU,Las Palmas,Killeen_MDU_Las Palmas,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDtAYAU,Marlboro_Heights_Mobile Home_Park,KIlleen_MDU_Marlboro_Heights_Mobile_Park,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClLYAU,Morgan Manor,Killeen_MDU_Morgan Manor Apts,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkDtDYAU,Nolan Creek Mobile Park,KILLEEN_MDU_Nolan Creek Mobile Park,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wk9T8YAI,Quail Hollow Apts_Morris RE,Killeen_MDU_Quail Hollow Apts,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA9KYAU,River Oaks Apartments,Killeen_MDU_River Oaks Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClMYAU,Southcastle Apartments,Killeen_MDU_Southcastle Apts,On Hold,,0,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wk9T6YAI,Terrace Villa_Morris RE,Killeen_MDU_Terence Villa,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkC7xYAE,Chateau West Apartments,Killeen_MDU_The Chateau West Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClHYAU,The Remington,Killeen_MDU_The Remington,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkCleYAE,Tucker Apts AKA Brickstone Villas,Killeen_MDU_Tucker Apts,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkCltYAE,Twin creek,Killeen_MDU_Twin Creek,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkA90YAE,Villa Del Rey _ FF Freddy,Killeen_MDU_Villa Del Rey Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wk9T7YAI,Village West Apartments_Morris RE,Killeen_MDU_Village West Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkABsYAM,Heritage Manor,Mineral Wells_MDU_Heritage Manor,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDM6YAM,Sandstone Foothills Apartments,Mineral Wells_MDU_Sandstone Foothills Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCjQYAU,Southridge Apartments,Mineral Wells_MDU_Southridge Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDMAYA2,The Peaks Townhomes,Mineral Wells_MDU_The Peaks Townhomes,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCliYAE,Watermere at the Preserve,North Richland Hills_MDU_Watermere at the Preserve,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkDtOYAU,OMAHA_MDU_58TH_Plaza_CIR,OMAHA_MDU_58TH_Plaza_CIR,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkArrYAE,Astoria Senior Living,Omaha_MDU_Astoria Senior Living,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wj8KcYAI,Camelot Village,Omaha_MDU_Camelot Village,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA8pYAE,Caravelle Apartments,Omaha_MDU_Caravelle Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDtNYAU,Omaha_MDU_Cherry Tree Apartments,Omaha_MDU_Cherry Tree Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA8tYAE,Corby Castle Apts,Omaha_MDU_Corby Castle Apts,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDMEYA2,Corby Street Apartments,Omaha_MDU_Corby Street Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA8vYAE,Coronado Condominiums,Omaha_MDU_Coronado Condominiums,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA8wYAE,Cypress Pointe II Apartment Complex,Omaha_MDU_Cypress Pointe II Apartment Complex,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA6VYAU,Dundee View,Omaha_MDU_Dundee View Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wj8KLYAY,Juniper Gardens,Omaha_MDU_Florentine Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA8gYAE,Hillside Park Apartments,Omaha_MDU_Hillside Park Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCjqYAE,Hillside Rows Apts,Omaha_MDU_Hillside Rows Apts,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA8rYAE,Laurel Hill Apartments,Omaha_MDU_Laurel Hill Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkC73YAE,Loveland by Broadmoor,Omaha_MDU_Loveland by Broadmoor,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkBTzYAM,Luma Lane Apartments,Omaha_MDU_Luma Lane Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA8FYAU,Maplewood Court Apartments,Omaha_MDU_Maplewood Court Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCkZYAU,New Towne West Apts,Omaha_MDU_New Towne West Apts,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA8eYAE,Park Crest,Omaha_MDU_Park Crest,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wj8KeYAI,Peony Village,Omaha_MDU_Peony Village Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wj8KsYAI,Pine Tree Apartments,Omaha_MDU_Pine Tree Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wj8KIYAY,Prairie Spring Apartments,Omaha_MDU_Prairie Spring Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wiNoNYAU,Sorensen Heights,Omaha_MDU_Sorensen Heights,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wj8KXYAY,Residences at Sorensen Square,Omaha_MDU_Sorensen Square Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCkeYAE,Swanson Towers Condominiums,Omaha_MDU_Swanson Towers Condominiums,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wjnlaYAA,The Colonial Apartments Broadmoor,Omaha_MDU_The Colonial,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wj8KaYAI,The Village at Grant Square,Omaha_MDU_The Village at Grant Square Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCkrYAE,Town And Country RV Park,OMAHA_MDU_Town And Country RV Park,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCjsYAE,Vaughan Manor Apartments,Omaha_MDU_Vaughan Manor Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCjDYAU,Villa Vinee Apartments,Omaha_MDU_Villa Vinee Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA8nYAE,Ville de Sante Terrace Apartments (1),Omaha_MDU_Ville de Sante Terrace Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCjoYAE,Woodgate Townhomes,Omaha_MDU_Woodgate Townhomes,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA7zYAE,Wyndham Hill,Omaha_MDU_Wyndham Hill & Villas by Broadmoor,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Omaha_MDU_Wyndham Villas by Broadmoor,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkAC0YAM,Bull Run Apts,Taylor_MDU_Bull Run Apts,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkC7vYAE,Burnett Place Apartments,Taylor_MDU_Burnett Place Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCjhYAE,TAYLOR_MDU_DEBUS_APTS AKA Boxwoods at Taylor Condo Community,TAYLOR_MDU_DEBUS_APTS,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDuHYAU,River Oaks Apartments,Tucson_MDU_River Oaks Apartments,PAL/ROE Complete,Other,100,005WR00000DE44HYAT,Marty Samuels,MDU/SFU
006WR00000wkA6bYAE,Woodgate Townhomes,,Prospects,,5,005WR00000DE3zRYAT,Jeff Chao,MDU/SFU
