SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Provenance
006WR00000wkCkdYAE,La Costa Casa Grande,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 3 dist_to_serviceable=3357ft
006WR00000wkCkgYAE,La Costa Village Townhomes,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 3 dist_to_serviceable=3241ft
006WR00000wkCkjYAE,Arroyo Villas,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 3 dist_to_serviceable=2800ft
006WR00000wkClBYAU,Belterra,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=770ft
006WR00000wkCmMYAU,Allora North Georgetown,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=653ft
006WR00000wkDLyYAM,Verona Park Apts,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=556ft
006WR00000wkDM0YAM,Vista Valley Apartments,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=1458ft
006WR00000wkDM1YAM,The District at Fiesta Park Apts,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=759ft
006WR00000wkDM7YAM,Garden Gate Apartments,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=1011ft
006WR00000wkDMCYA2,Rise at the District,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=692ft
006WR00000wkDMGYA2,North Park Landing Apartments,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=600ft
006WR00000wkDMHYA2,Mesa_MDU_Del Corona Apts Del Coronado,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 3 dist_to_serviceable=2199ft
006WR00000wkDssYAE,Fiesta Village MH & RV Resort,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=696ft
006WR00000wkDsvYAE,Park_Place (Care Center),Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=671ft
