SF_Id,SF_Name,Field,Before,After,Source,Action,Timestamp
006WR00000wkEbSYAU,Saffari Apts_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972021
006WR00000wkEbTYAU,Soaring Eagle Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972027
006WR00000wkEbTYAU,Soaring Eagle Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972034
006WR00000wkEbPYAU,1507 N 8th Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972040
006WR00000wkEbPYAU,1507 N 8th Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972046
006WR00000wk9RuYAI,Town East,Next_Action__c,,Perfoming walks on 4/15,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972052
006WR00000wk9RuYAI,Town East,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972058
006WR00000wkEcBYAU,Heritage of Newark (FKA Newark Beach Estates),Next_Action__c,,Need Bulk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972064
006WR00000wkEcBYAU,Heritage of Newark (FKA Newark Beach Estates),Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972070
006WR00000wkDtzYAE,Whispering Hills Apartments,Next_Action__c,,Perfoming walks on 4/15,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972080
006WR00000wkDtzYAE,Whispering Hills Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972086
006WR00000wkEcDYAU,The 1001 Apartments,Next_Action__c,,PAL addedndum and Marketing,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972093
006WR00000wkEcDYAU,The 1001 Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972099
006WR00000wkEc8YAE,Bristol Square Apartments,Next_Action__c,,PAL addedndum and Marketing,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972105
006WR00000wkEc8YAE,Bristol Square Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972111
006WR00000wkEb1YAE,Horizon Heights,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972117
006WR00000wkEb1YAE,Horizon Heights,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972123
006WR00000wkEcEYAU,Northampton Court Condominiums,Next_Action__c,,PAL addendum and Marketing,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972130
006WR00000wkEcEYAU,Northampton Court Condominiums,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972137
006WR00000wkEboYAE,The Bungalows,Next_Action__c,"Build approved - NID construction greenlit, target serviceable by 5/31/2026",Owner approval to build,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972144
006WR00000wkEboYAE,The Bungalows,Next_Action_Date__c,2026-05-31,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972152
