SF_Id,Name,Object,Field,Before,After,Source,Timestamp,Action
006WR00000wk9RuYAI,Town East,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wk9RyYAI,Rivers Edge,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDtzYAE,Whispering Hills Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDu4YAE,High Country Villas 5&7,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDu5YAE,Southwest Patio Home Apartments,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDu6YAE,500 NE 70th,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuAYAU,Villas on Horne,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuNYAU,6311-6321 Roosevelt,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuOYAU,Stonebridge Gardens,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuPYAU,7000 Roosevelt Way Apt,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuRYAU,7101 Roosevelt Way Apt,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuSYAU,The Fifth Avenue,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuTYAU,The Sixth Avenue,Opportunity,StageName,EMA/Bulk Complete,Marketing/Bulk Complete,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuUYAU,Pineforest Park,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuVYAU,Crenshaw Townhouse,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuWYAU,West Creek Townhomes,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuXYAU,Vanowen Manor,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuYYAU,Lord Tennyson,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuZYAU,Crenshaw Manor,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDuaYAE,Columbia Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDubYAE,Windfaire Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDucYAE,Woodbury Place Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDudYAE,Strathmore Arms Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDueYAE,University Club Apartments (Nac),Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDufYAE,714 Veteran,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
006WR00000wkDugYAE,University Square Apartments,Opportunity,StageName,EMA/Bulk In Progress,Marketing/Bulk In Progress,stage_rename_emabulk_to_marketingbulk_2026-05-05,2026-05-05,UPDATE
