Id,Name,Agreement_Name__c,field,old_value,new_value
006WR00000xwGiLYAU,Killeen_MDU_Gray St North Apartments,Killeen_MDU_Gray St North Apartments,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000wkCm8YAE,Harris Apartments,Killeen_MDU_Harris Apartments,Loss_Reason__c,Existing Contract,Existing BULK
006WR00000wkCm8YAE,Harris Apartments,Killeen_MDU_Harris Apartments,OwnerId,Chuck McNeely,005WR00000Ewjj3YAB
006WR00000wkDtBYAU,KILLEEN_MDU_Henderson_Garden,KILLEEN_MDU_Henderson_Garden,OwnerId,Unassigned MDU,005WR00000Ewjj3YAB
006WR00000wkDsxYAE,Highlander Apartments,Killeen_MDU_Highlander Apartments,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkClaYAE,Highview Apartments,Killeen_MDU_Highview Apts,Loss_Reason__c,Existing Contract,Existing BULK
006WR00000wkClaYAE,Highview Apartments,Killeen_MDU_Highview Apts,OwnerId,Chuck McNeely,005WR00000Ewjj3YAB
006WR00000wk9Z7YAI,Hillcrest Apartments,Killeen_MDU_Hillcrest Apts,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkDtIYAU,John Wesley Arms,Killeen_MDU_John Wesley Arms,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkDtLYAU,Killeen Housing Authority,Killeen_MDU_Killeen Housing Authority,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkDtFYAU,Kings Arms Apartment II,Killeen_MDU_Kings Arms Apartment II,StageName,Prospects,Closed Lost
006WR00000wkDtFYAU,Kings Arms Apartment II,Killeen_MDU_Kings Arms Apartment II,Loss_Reason__c,,Existing Contract
006WR00000wkDtFYAU,Kings Arms Apartment II,Killeen_MDU_Kings Arms Apartment II,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000xuoRcYAI,Killeen_MDU_Laforce Apts,Killeen_MDU_Laforce Apts,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000wkClOYAU,Lakeview Apartments,Killeen_MDU_Lakeview Apts,Loss_Reason__c,Existing Contract,Existing BULK
006WR00000wkClOYAU,Lakeview Apartments,Killeen_MDU_Lakeview Apts,OwnerId,Chuck McNeely,005WR00000Ewjj3YAB
006WR00000wkDtJYAU,Las Palmas,Killeen_MDU_Las Palmas,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkCkWYAU,Liberty Landing Apartments,KILLEEN_MDU_Liberty_Landing,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000wkABzYAM,KILLEEN_MDU_Lowrance HOA,KILLEEN_MDU_Lowrance HOA,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000xwGwrYAE,Killeen_MDU_Magnolia Heights,Killeen_MDU_Magnolia Heights,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000wkDtAYAU,Marlboro_Heights_Mobile Home_Park,KIlleen_MDU_Marlboro_Heights_Mobile_Park,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000xvpiBYAQ,KILLEEN_MDU_MCG_Homestead_Rentals,KILLEEN_MDU_MCG_Homestead_Rentals,StageName,Closed Lost,Prospects
006WR00000xvpiBYAQ,KILLEEN_MDU_MCG_Homestead_Rentals,KILLEEN_MDU_MCG_Homestead_Rentals,Loss_Reason__c,Not Interested,
006WR00000xvpiBYAQ,KILLEEN_MDU_MCG_Homestead_Rentals,KILLEEN_MDU_MCG_Homestead_Rentals,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000wkClLYAU,Morgan Manor,Killeen_MDU_Morgan Manor Apts,Loss_Reason__c,Existing Contract,Existing BULK
006WR00000wkClLYAU,Morgan Manor,Killeen_MDU_Morgan Manor Apts,OwnerId,Chuck McNeely,005WR00000Ewjj3YAB
006WR00000wkDtDYAU,Nolan Creek Mobile Park,KILLEEN_MDU_Nolan Creek Mobile Park,OwnerId,Bill Holick,005WR00000Ewjj3YAB
006WR00000xvlMoYAI,Killeen_MDU_Palo Alto Apartments,Killeen_MDU_Palo Alto Apartments,StageName,Closed Lost,Prospects
006WR00000xvlMoYAI,Killeen_MDU_Palo Alto Apartments,Killeen_MDU_Palo Alto Apartments,Loss_Reason__c,Not Interested,
006WR00000xvlMoYAI,Killeen_MDU_Palo Alto Apartments,Killeen_MDU_Palo Alto Apartments,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000xvV0KYAU,Killeen_MDU_Paradise Cove,Killeen_MDU_Paradise Cove,StageName,Closed Lost,Prospects
006WR00000xvV0KYAU,Killeen_MDU_Paradise Cove,Killeen_MDU_Paradise Cove,Loss_Reason__c,Not Interested,
006WR00000xvV0KYAU,Killeen_MDU_Paradise Cove,Killeen_MDU_Paradise Cove,OwnerId,Tanya Friese,005WR00000Ewjj3YAB
006WR00000wkCjLYAU,Parker Place (Just off Post) Apartments,Killeen_MDU_Parker Place Apartments,StageName,Closed Lost,Prospects
006WR00000wkCjLYAU,Parker Place (Just off Post) Apartments,Killeen_MDU_Parker Place Apartments,Loss_Reason__c,Not Interested,
006WR00000wkCjLYAU,Parker Place (Just off Post) Apartments,Killeen_MDU_Parker Place Apartments,OwnerId,Bill Holick,005WR00000Ewjj3YAB
