opp_id,opp_name,opp_stage,opp_state,current_sitetracker_project_id,st_count_for_opp,st_ids,st_names
006WR00000xwGK9YAM,Omaha_MDU_6414 Boyd St,PAL/ROE Complete,NE,,1,a2XVT000000gFIo2AM,P-006011
006WR00000y3J0LYAU,Omaha_MDU_5004 Davenport St,PAL/ROE Complete,NE,,1,a2XVT000000pYqr2AE,P-006131
006WR00000xwFRJYA2,Omaha_MDU_Benson Crest Apartments 1,PAL/ROE Complete,NE,,1,a2XVT000000qH9d2AE,P-006134
006WR00000wkEaOYAU,Regents Park Apartments,PAL/ROE Complete,IL,,1,a2XVT000000qRlh2AE,P-006138
006WR00000wkEcXYAU,Lakewood Manufactured Home Community,PAL/ROE Complete,TX,,1,a2XVT0000010Ih72AE,P-006194
006WR00000wkEc9YAE,Heatherwilde Park AKA Cove at Heatherwilde,PAL/ROE Complete,TX,,1,a2XVT0000014h932AA,P-006258
006WR00000wkEZeYAM,Heritage Park,PAL/ROE Complete,TX,,1,a2XVT0000018gG12AI,P-006300
006WR00000xwG7FYAU,Omaha_MDU_Ellington Apartments,PAL/ROE Complete,NE,,1,a2XVT000002Uxj32AC,P-006712
006WR00000xwEztYAE,Omaha_MDU_Benson Gardens,PAL/ROE Complete,NE,,1,a2XVT000001BDpN2AW,P-006322
006WR00000wkEb8YAE,The Bungalows on the Lake at Prairie Queen,PAL/ROE Complete,NE,,1,a2XVT000001D79Z2AS,P-006338
006WR00000xwHRVYA2,Killeen_MDU_East Gate Apartments,PAL/ROE Complete,TX,,1,a2XVT000003EBt72AG,P-006812
006WR00000y2FzkYAE,Omaha_MDU_4760 LAFAYETTE AVE,PAL/ROE Complete,NE,,2,a2XVT00000240hp2AA; a2XVT000003SfHp2AK,P-006494; P-006876
006WR00000wkDtMYAU,Fort_Hood MHP,Prospects,TX,,1,a2XVT000003EEe52AG,P-006814
006WR00000wkEb1YAE,Horizon Heights,PAL/ROE Complete,NE,,1,a2XVT000002CfCj2AK,P-006620
006WR00000xvjmRYAQ,Omaha_MDU_The Frederick,PAL/ROE Complete,NE,,1,a2XVT000002OkVB2A0,P-006668
006WR00000xwFCnYAM,Omaha_MDU_4015 HAMILTON ST,PAL/ROE Complete,NE,,1,a2XVT000002l5Kr2AI,P-006739
006WR00000xvSKBYA2,Omaha_MDU_2313 N 72nd St apts,PAL/ROE Complete,NE,,1,a2XVT000002n2XN2AY,P-006745
006WR00000xvZ3uYAE,Omaha_MDU_The Rose Apartments,PAL/ROE Complete,NE,,1,a2XVT000002qRXd2AM,P-006750
006WR00000xw0VXYAY,Omaha_MDU_4822-4824 Cass St,PAL/ROE Complete,NE,,1,a2XVT000002rpjB2AQ,P-006752
006WR00000xvKb9YAE,Killeen_MDU_Villa Del North,PAL/ROE Complete,TX,,1,a2XVT000002u1bN2AQ,P-006754
006WR00000xvW9GYAU,Taylor_MDU_Vance Apartments,PAL/ROE Complete,TX,,1,a2XVT000002u1t72AA,P-006755
006WR00000wkEcBYAU,Heritage of Newark (FKA Newark Beach Estates),PAL/ROE Complete,TX,,1,a2XVT000002uZOY2A2,P-006759
006WR00000xvhSvYAI,Killeen_MDU_1015-1017 Parmer Ave,PAL/ROE Complete,TX,,1,a2XVT000002uk2D2AQ,P-006760
006WR00000xwHHpYAM,Killeen_MDU_Downtown Manor,PAL/ROE Complete,TX,,1,a2XVT000002ukWr2AI,P-006761
006WR00000xv5LzYAI,Killeen_MDU_Stringer St Apts,PAL/ROE Complete,TX,,1,a2XVT000002ukev2AA,P-006762
006WR00000xvWR0YAM,Omaha_MDU_4810-4812 Capital Ave,PAL/ROE Complete,NE,,1,a2XVT000002wLu92AE,P-006766
006WR00000xv174YAA,Omaha_MDU_The Wakeley Pointe,PAL/ROE Complete,NE,,1,a2XVT000002wMTd2AM,P-006767
006WR00000wkA8yYAE,78th Place Apartments,PAL/ROE Complete,NE,,1,a2XVT000002z9wT2AQ,P-006773
006WR00000xwF7xYAE,Omaha_MDU_360 Skyview,PAL/ROE Complete,NE,,2,a2XVT000002zA9N2AU; a2XVT000003YBk52AG,P-006774; P-006899
006WR00000xwH89YAE,Killeen_MDU_425 N Gilmer St,PAL/ROE Complete,TX,,1,a2XVT000002zAcP2AU,P-006776
006WR00000xwHJRYA2,Killeen_MDU_703 Gilmer Street Apartments,PAL/ROE Complete,TX,,1,a2XVT000002zBYT2A2,P-006778
006WR00000xwGnBYAU,Killeen_MDU_201 W Green Ave,PAL/ROE Complete,TX,,1,a2XVT000002zBmz2AE,P-006779
006WR00000xvPe3YAE,Killeen_MDU_602 N 2nd St,PAL/ROE Complete,TX,,1,a2XVT000002zIi12AE,P-006788
006WR00000xw7NKYAY,Killeen_MDU_511 N Gilmer & 512 Wyoming St,PAL/ROE Complete,TX,,1,a2XVT00000344zN2AQ,P-006796
006WR00000xwGATYA2,Omaha_MDU_California Place,PAL/ROE Complete,NE,,1,a2XVT0000035B4L2AU,P-006799
006WR00000xvAAMYA2,Omaha_MDU_4527 Decatur St,PAL/ROE Complete,NE,,1,a2XVT0000035bEv2AI,P-006803
006WR00000xwFSvYAM,Omaha_MDU_4455 Franklin St,PAL/ROE Complete,NE,,1,a2XVT000003EI1l2AG,P-006815
006WR00000wiNoSYAU,Haciendas de la Playa,PAL/ROE Complete,CA,,1,a2XVT0000009VML2A2,P-005191
006WR00000yuOtDYAU,Pacifica Leucadia HOA,Prospects,CA,,1,a2XVT0000003N4v2AE,P-004252
006WR00000y3k5NYAQ,Decatur_MDU_Smallwood Trailer Park,PAL/ROE Complete,TX,,1,a2XVT000001lsyr2AA,P-006442
006WR00000xwGwrYAE,Killeen_MDU_Magnolia Heights,PAL/ROE Complete,TX,,1,a2XVT000003JxQr2AK,P-006829
006WR00000xvFEsYAM,Killeen_MDU_813 N Park St Apartments,PAL/ROE Complete,TX,,1,a2XVT000003JyMv2AK,P-006831
006WR00000xvmSZYAY,Killeen_MDU_The Links Apts,PAL/ROE Complete,TX,,1,a2XVT000003JzIz2AK,P-006833
006WR00000y2DuoYAE,Solana Beach_MDU_Seascape Chateau,PAL/ROE Complete,CA,,1,a2XVT000003NYLp2AO,P-006844
006WR00000y3iV0YAI,Solana Beach_MDU_Seascape Shores Condos,PAL/ROE Complete,CA,,1,a2XVT000003NYNR2A4,P-006845
006WR00000wk9YTYAY,Solana Beach and Tennis Club,PAL/ROE Complete,CA,,1,a2XVT000003NYTt2AO,P-006846
006WR00000y24mZYAQ,Solana Beach_MDU_Surfsong Condos,PAL/ROE Complete,CA,,1,a2XVT000003NYYj2AO,P-006847
006WR00000wkDuOYAU,Stonebridge Gardens,PAL/ROE Complete,AZ,,1,a2XVT000003PLQv2AO,P-001672
006WR00000wkDuKYAU,Fowler's RV Park,PAL/ROE Complete,TX,,1,a2XVT0000010gjR2AQ,P-006203
006WR00000wkDtzYAE,Whispering Hills Apartments,Marketing/Bulk Complete,TX,,1,a2XVT000003PksL2AS,P-006859
006WR00000wk9RuYAI,Town East,Marketing/Bulk Complete,TX,,1,a2XVT000003Plej2AC,P-006861
006WR00000wk9RtYAI,117 and 121 E Avenue A Apartments,Marketing/Bulk Complete,TX,,1,a2XVT000003PmKf2AK,P-006862
006WR00000wkAk9YAE,Four Seasons Condominiums of Winter Park,Closed Lost,FL,,1,a2X4x000002oCCpEAM,P-001021
006WR00000wjKFoYAM,Versante Apartment Homes,Prospects,AZ,,1,a2X4x000002iF1vEAE,P-001802
006WR00000wkBojYAE,The Outlook at Windhaven,On Hold,TX,,1,a2X4x000002iF2UEAU,P-001818
006WR00000wkAVPYA2,Benedict Park Place,Prospects,CO,,1,a2X4x000003CnSnEAK,P-001607
006WR00000wkACGYA2,Bella Vita,On Hold,AZ,,1,a2X4x000002oBbYEAU,P-000967
006WR00000wk9TBYAY,San Clemente,On Hold,AZ,,1,a2X4x000002oCCfEAM,P-001019
006WR00000wk9TCYAY,San Angelin,On Hold,AZ,,1,a2X4x000002oCCkEAM,P-001020
006WR00000wkAjtYAE,Camino Colony,Closed Lost,CA,,1,a2X4x000002oDlrEAE,P-001089
006WR00000wkAkHYAU,Adiamo Palm Valley,Prospects,AZ,,1,a2X4x000002oEbTEAU,P-001113
006WR00000wk9TGYAY,San Miguel Apartments,On Hold,AZ,,1,a2X4x000003CnSsEAK,P-001608
006WR00000wkDLxYAM,Lemon & Pear Tree Apartments,On Hold,AZ,,1,a2X4x000003CnT2EAK,P-001610
006WR00000wkDM2YAM,The Forum Apartments FKA Archstone Apartments,On Hold,TX,,1,a2X4x000003CnSyEAK,P-001612
006WR00000wkCm3YAE,Vida Apartments,Closed Lost,TX,,1,a2X4x000002iFyYEAU,P-002041
006WR00000wkAs5YAE,Seattle Heights,Prospects,WA,,1,a2X4x000003CsL9EAK,P-002801
006WR00000wkArMYAU,Madison Crossing,Prospects,WA,,1,a2X4x000002iw66EAA,P-003273
006WR00000wkArKYAU,Lawrence Lofts,Prospects,WA,,1,a2X4x000002iw6BEAQ,P-003274
006WR00000wkClBYAU,Belterra,Prospects,TX,,1,a2XVT0000004Gfh2AE,P-004475
006WR00000wkDLtYAM,Olympus Town Center,Prospects,TX,,1,a2XVT0000004IBF2A2,P-004486
006WR00000wkDM3YAM,Luxe at Ocotillo,Prospects,AZ,,1,a2XVT0000004IKv2AM,P-004490
006WR00000wkDM4YAM,Ocotillo Bay,Prospects,AZ,,1,a2XVT0000004IPl2AM,P-004491
006WR00000wjnmKYAQ,University Apartments,Prospects,WA,,1,a2XVT000000XygX2AS,P-005894
006WR00000wk9ULYAY,Cottages of Edina,Prospects,MN,,1,a2XVT000001AvR32AK,P-006318
006WR00000wkDtnYAE,La Costa at Dobson Ranch,Closed Lost,AZ,,1,a2XVT000001z18H2AQ,P-006485
006WR00000wkDtxYAE,Olive East,On Hold,AZ,,1,a2XVT000001z1D92AI,P-006486
006WR00000yvz12YAA,Cambria HOA,Prospects,CA,,1,a2XVT000001z1uf2AA,P-006488
006WR00000wk1EpYAI,Linea Stillwater,Marketing/Bulk Complete,TX,,1,a2XVT000003WBJa2AO,P-006877
006WR00000wkCjuYAE,Bradley Arms,Marketing/Bulk In Progress,TX,,1,a2XVT000003Xafh2AC,P-006884
