Id,Name,StageName,Owner,Property_Address,Property_City,Property_State,Property_Zip,current_category,franchise_type,suggested_category,distance_ft,nearest_fiber_addr,nearest_fdh,via_optk,change_type,geocode_note
006WR00000wkDtIYAU,John Wesley Arms,Prospects,Bill Holick,1216 N 8TH ST UNIT 1 KILLEEN TX 76541,Killeen,TX,76541,Cat 1,In-Franchise,Cat 1,51.0,1200 N 8TH ST UNIT B KILLEEN TX 76541,FDH04,,no_change,"1216 N 8TH ST, KILLEEN, TX, 76541"
006WR00000wkDtJYAU,Las Palmas,Prospects,Bill Holick,1801 N 4TH ST UNIT 1 KILLEEN TX 76541,Killeen,TX,76541,Cat 1,In-Franchise,Cat 1,80.5,1709 N 4TH ST KILLEEN TX 76541,FDH06,,no_change,"1801 N 4TH ST, KILLEEN, TX, 76541"
006WR00000wkDtKYAU,Valley View RV Park,Prospects,Bill Holick,100 N 10TH ST JARRELL TX 76537,Jarrell,TX,76537,Cat 1,In-Franchise,Cat 1,112.0,100 N 10TH ST JARRELL TX 76537,FDH06,,no_change,"100 N 10TH ST, JARRELL, TX, 76537"
006WR00000wkDtLYAU,Killeen Housing Authority,Prospects,Bill Holick,1201 ATTAS AVE UNIT 64 KILLEEN TX 76541,Killeen,TX,76541,Cat 1,In-Franchise,Cat 1,34.7,1203 ATTAS AVE UNIT 61 KILLEEN TX 76541,FDH12,,no_change,"1201 ATTAS AVE, KILLEEN, TX, 76541"
006WR00000wkDtMYAU,Fort_Hood MHP,Prospects,Bill Holick,3103 S FORT HOOD ST UNIT 10 KILLEEN TX 76542,Killeen,TX,76542,Cat 1,In-Franchise,Cat 1,149.2,3029 S FORT HOOD ST KILLEEN TX 76542,FDH13,,no_change,"3103 S FORT HOOD ST, KILLEEN, TX, 76542"
006WR00000wkDtNYAU,Omaha_MDU_Cherry Tree Apartments,Prospects,Bill Holick,"8304 Underwood Ave, Omaha, NE 68114, USA",Omaha,NE,68114,Cat 1,In-Franchise,Cat 1,95.8,8301 UNDERWOOD AVE OMAHA NE 68114,FDH03,,no_change,"8304 UNDERWOOD AVE, OMAHA, NE, 68114"
006WR00000wkDtOYAU,OMAHA_MDU_58TH_Plaza_CIR,Prospects,Bill Holick,5303 58TH PLAZA CIR OMAHA NE 68104,Omaha,NE,68104,Cat 1,In-Franchise,,,,,,geocode_failed,No_Match
006WR00000wkDtRYAU,Mac's Mobile Home Park,Prospects,Chuck McNeely,"709 West Avenue G, Nolanville, TX, USA",Nolanville,TX,76559,Cat 1,In-Franchise,Cat 1,74.9,301 FM SPUR 439 UNIT 1 NOLANVILLE TX 76559,FDH06,,no_change,"709 W AVE G, NOLANVILLE, TX, 76559"
006WR00000wkDtSYAU,Cimarron Hills,On Hold,Chuck McNeely,"200 West Cimarron Hills Trail, Georgetown, TX, USA",Georgetown,TX,78682,Cat 3,In-Franchise,Cat 3,8079.1,616 LOS OLIVES LN LIBERTY HILL TX 78642,FDH02,,no_change,"200 W CIMARRON HILLS TRL, GEORGETOWN, TX, 78628"
006WR00000wkDtTYAU,The Oaks at Liberty Hill Apartments,On Hold,Chuck McNeely,"14000 West State Highway 29, Liberty Hill, TX, USA",Liberty Hill,TX,78642,Cat 2,In-Franchise,Cat 3,12551.1,1277 COUNTY ROAD 258 LIBERTY HILL TX 78642,FDH08,,change,"14000 W STATE HWY 29, LIBERTY HILL, TX, 78642"
