Action,SF_Id,Name,Field,Before,After,Status,Source,Timestamp
UPDATE,a0BWR000008WSZF2A4,AGR-1457,Signed_Date__c,2025-12-21,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690101
UPDATE,a0BWR000008WScT2AW,AGR-1459,Signed_Date__c,2024-12-11,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690109
UPDATE,a0BWR000008WSfh2AG,AGR-1461,Signed_Date__c,2025-03-17,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690117
UPDATE,a0BWR000008WShJ2AW,AGR-1462,Signed_Date__c,2024-12-11,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690125
UPDATE,a0BWR000008WSpN2AW,AGR-1468,Signed_Date__c,2025-05-15,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690133
UPDATE,a0BWR000008WSuD2AW,AGR-1471,Signed_Date__c,2025-07-30,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690141
UPDATE,a0BWR000008Xk7W2AS,AGR-1484,Signed_Date__c,2026-03-17,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690149
UPDATE,a0BWR000008XlOY2A0,AGR-1487,Signed_Date__c,2026-03-24,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690157
UPDATE,a0BWR000008Xnq92AC,AGR-1477,Signed_Date__c,2026-02-11,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690164
UPDATE,a0BWR000008Xnrl2AC,AGR-1478,Signed_Date__c,2026-03-04,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690172
UPDATE,a0BWR000008XntN2AS,AGR-1479,Signed_Date__c,2026-03-09,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690181
UPDATE,a0BWR000008Xnuz2AC,AGR-1480,Signed_Date__c,2026-03-04,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690189
UPDATE,a0BWR000008Xnwb2AC,AGR-1481,Signed_Date__c,2026-03-09,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690197
UPDATE,a0BWR000008XnyD2AS,AGR-1482,Signed_Date__c,2026-03-04,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690205
UPDATE,a0BWR000008Xnzp2AC,AGR-1483,Signed_Date__c,2026-03-04,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690213
UPDATE,a0BWR000008Xo1R2AS,AGR-1485,Signed_Date__c,2026-03-09,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690220
UPDATE,a0BWR000008Xo332AC,AGR-1486,Signed_Date__c,2026-03-09,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690228
UPDATE,a0BWR000008Xo4f2AC,AGR-1488,Signed_Date__c,2026-04-14,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690237
UPDATE,a0BWR000008Xo6H2AS,AGR-1489,Signed_Date__c,2026-04-14,,Sign,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690245
