SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR00000yugutYAA,Ocean View Private Road,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011cGDyYAM,University Place Townhomes,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011cWvRYAU,Sandra Ann Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkDO8YAM,Summit Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wjdk9YAA,The Junction at Iron Horse,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkBpPYAU,The Kyle,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011bPfxYAE,Dundee Creek Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011cWtpYAE,Heritage Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkBG5YAM,1st Avenue Apartments (Old Name - Southwest Villa),Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkCl5YAE,Landings,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkACEYA2,Birchwood Apts,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkAsDYAU,Stillwater Rivulon,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011aevbYAA,Church Hill Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wk1FYYAY,30 Metro,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wk3OJYAY,The Bronte East,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkA7BYAU,Town & Country Mobile Homes,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkAkZYAU,Villas Mesa 3,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkA7AYAU,Lincoln Apartments _ FF Freddy,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkCldYAE,Keystone Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wk9U8YAI,Mesa Coronado II,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wjnl0YAA,Country Cousins Mobile Home & RV Park,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkDuBYAU,Riverview Townhomes,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkCk7YAE,Stone View on Horne,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011c5C6YAI,5120-5128 NW Radial Hwy,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEzeYAE,Sire Wellington Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkBpCYAU,Grove at Nolan Creek,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkBqFYAU,The Langford,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEzhYAE,SageWater Village,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wjnlMYAQ,Riverside Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEzfYAE,Bell Presidio,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011cMfyYAE,Discovery Village at Alliance Town Center (Riverside),Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEa6YAE,Briarwood Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEaEYAU,Lakeview Court Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEZwYAM,Western Hills Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEzlYAE,Watermere at Southlake,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkF0wYAE,Presidium at Revelstoke,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkCk6YAE,Main Street Square,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEznYAE,Forena Revelstoke Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkABaYAM,Waterwood Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011awSdYAI,Lookout Ridge Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkBokYAE,Shady Creek Ranch Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkA9HYAU,Cypress View Villas,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEzdYAE,The Wyatt at Presidio Junction Apartment Homes,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEzoYAE,The Legends at Eagle Mountain,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEzkYAE,Solay Fort Worth Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEziYAE,Cortland Presidio West,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wjnldYAA,Town and Country Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011bxo2YAA,Sunset Arms,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkEzgYAE,SageStone Village,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000ywQveYAE,La Costa Town Square,Property_Category__c,Cat 1,Cat 2,vetro_tightened.py v2,2026-04-24T13:49:49,flip
