Id,Name,Circuit_ID__c,Unit__c,Activated__c,Address_Activation_Date__c,Address_Deactivated__c,Import_DateTime__c,Parent_Business_Base_Address
a02WR00000FcMonYAF,508 KATY RD KELLER TX 76244,TX0606-014000115A,,No,,No,2025-10-06T18:04:52.000+0000,508 KATY RD KELLER TX
a02WR00000FcMpVYAV,510 W 4TH ST JUSTIN TX 76247,TX0602-021000122A,,No,,No,2025-10-06T18:04:52.000+0000,510 W 4TH ST JUSTIN TX
a02WR00000FcMqsYAF,1204 GLENWOOD DR AZLE TX 76020,TX0601-012000014A,,No,,No,2025-10-06T18:04:52.000+0000,1204 GLENWOOD DR AZLE TX
a02WR00000FcMrgYAF,1208 GLENWOOD DR AZLE TX 76020,TX0601-012000015A,,No,,No,2025-10-06T18:04:52.000+0000,1208 GLENWOOD DR AZLE TX
a02WR00000FcMsMYAV,121 N ASH AVE AZLE TX 76020,TX0601-010000110A,,No,,No,2025-10-06T18:04:52.000+0000,121 N ASH AVE AZLE TX
a02WR00000FcMsaYAF,1210 MELODY LN KELLER TX 76262,TX0603-002000129A,,No,,No,2025-10-06T18:04:52.000+0000,1210 MELODY LN KELLER TX
a02WR00000FcMssYAF,1211 W MURPHY RD COLLEYVILLE TX 76034,TX0606-010000016A,,No,,No,2025-10-06T18:04:52.000+0000,1211 W MURPHY RD COLLEYVILLE TX
a02WR00000FcMsvYAF,1212 GLENWOOD DR AZLE TX 76020,TX0601-012000007A,,No,,No,2025-10-06T18:04:52.000+0000,1212 GLENWOOD DR AZLE TX
a02WR00000FcMtDYAV,1216 GLENWOOD DR AZLE TX 76020,TX0601-012000001A,,No,,No,2025-10-06T18:04:52.000+0000,1216 GLENWOOD DR AZLE TX
a02WR00000FcMtFYAV,12189 ANGEL FOOD LN FORT WORTH TX 76244,TX0606-021000134A,,No,,No,2025-10-06T18:04:52.000+0000,12189 ANGEL FOOD LN FORT WORTH TX
a02WR00000FcMtUYAV,512 DUNAWAY LN AZLE TX 76020,TX0601-010000136A,,No,,No,2025-10-06T18:04:52.000+0000,512 DUNAWAY LN AZLE TX
a02WR00000FcMu2YAF,513 WALNUT ST ROANOKE TX 76262,TX0603-009000338A,,No,,No,2025-10-06T18:04:52.000+0000,513 WALNUT ST ROANOKE TX
a02WR00000FcMuuYAF,516 DUNAWAY LN AZLE TX 76020,TX0601-010000062A,,No,,No,2025-10-06T18:04:52.000+0000,516 DUNAWAY LN AZLE TX
a02WR00000FcMuzYAF,516 W 4TH ST JUSTIN TX 76247,TX0602-021000194A,,No,,No,2025-10-06T18:04:52.000+0000,516 W 4TH ST JUSTIN TX
a02WR00000FcMvGYAV,519 W 3RD ST JUSTIN TX 76247,TX0602-021000170A,,No,,No,2025-10-06T18:04:52.000+0000,519 W 3RD ST JUSTIN TX
a02WR00000FcMvKYAV,520 DUNAWAY LN AZLE TX 76020,TX0601-010000069A,,No,,No,2025-10-06T18:04:52.000+0000,520 DUNAWAY LN AZLE TX
a02WR00000FcMvOYAV,520 S WHITE CHAPEL BLVD SOUTHLAKE TX 76092,TX0606-007000004A,,No,,No,2025-10-06T18:04:52.000+0000,520 S WHITE CHAPEL BLVD SOUTHLAKE TX
a02WR00000FcMvaYAF,521 W 2ND ST JUSTIN TX 76247,TX0602-021000128A,,No,,No,2025-10-06T18:04:52.000+0000,521 W 2ND ST JUSTIN TX
a02WR00000FcMvjYAF,522 W 3RD ST JUSTIN TX 76247,TX0602-021000034A,,No,,No,2025-10-06T18:04:52.000+0000,522 W 3RD ST JUSTIN TX
a02WR00000FcMw6YAF,523 W 4TH ST JUSTIN TX 76247,TX0602-021000187A,,No,,No,2025-10-06T18:04:52.000+0000,523 W 4TH ST JUSTIN TX
a02WR00000FcMwBYAV,524 DUNAWAY LN AZLE TX 76020,TX0601-010000068A,,No,,No,2025-10-06T18:04:52.000+0000,524 DUNAWAY LN AZLE TX
a02WR00000FcMwcYAF,122 W OLIVE ST KELLER TX 76248,TX0607-016000070A,,No,,No,2025-10-06T18:04:52.000+0000,122 W OLIVE ST KELLER TX
a02WR00000FcMweYAF,1220 GLENWOOD DR AZLE TX 76020,TX0601-012000002A,,No,,No,2025-10-06T18:04:52.000+0000,1220 GLENWOOD DR AZLE TX
a02WR00000FcMwhYAF,1220 MELODY LN KELLER TX 76262,TX0603-002000125A,,No,,No,2025-10-06T18:04:52.000+0000,1220 MELODY LN KELLER TX
a02WR00000FcMwtYAF,1224 GLENWOOD DR AZLE TX 76020,TX0601-012000008A,,No,,No,2025-10-06T18:04:52.000+0000,1224 GLENWOOD DR AZLE TX
a02WR00000FcMxBYAV,1230 MELODY LN KELLER TX 76262,TX0603-002000123A,,No,,No,2025-10-06T18:04:52.000+0000,1230 MELODY LN KELLER TX
a02WR00000FcMxFYAV,12301 WOODLAND SPRINGS DR FORT WORTH TX 76244,TX0606-036000230A,,No,,No,2025-10-06T18:04:52.000+0000,12301 WOODLAND SPRINGS DR FORT WORTH TX
a02WR00000FcMxLYAV,1234 TRAIL RIDGE DR KELLER TX 76248,TX0603-001000024A,,No,,No,2025-10-06T18:04:52.000+0000,1234 TRAIL RIDGE DR KELLER TX
a02WR00000FcMxQYAV,1235 TRAIL RIDGE DR KELLER TX 76248,TX0603-001000030A,,No,,No,2025-10-06T18:04:52.000+0000,1235 TRAIL RIDGE DR KELLER TX
a02WR00000FcMxRYAV,1235 WESTWYCK CT SOUTHLAKE TX 76092,TX0603-006000016A,,No,,No,2025-10-06T18:04:52.000+0000,1235 WESTWYCK CT SOUTHLAKE TX
a02WR00000FcMy4YAF,1240 MELISSA DR KELLER TX 76262,TX0603-002000113A,,No,,No,2025-10-06T18:04:52.000+0000,1240 MELISSA DR KELLER TX
a02WR00000FcMy5YAF,1240 MELODY LN KELLER TX 76262,TX0603-002000121A,,No,,No,2025-10-06T18:04:52.000+0000,1240 MELODY LN KELLER TX
a02WR00000FcMyTYAV,1244 TRAIL RIDGE DR KELLER TX 76248,TX0603-001000020A,,No,,No,2025-10-06T18:04:52.000+0000,1244 TRAIL RIDGE DR KELLER TX
a02WR00000FcMyhYAF,1245 WESTWYCK CT SOUTHLAKE TX 76092,TX0603-006000012A,,No,,No,2025-10-06T18:04:52.000+0000,1245 WESTWYCK CT SOUTHLAKE TX
a02WR00000FcMzYYAV,125 N ASH AVE AZLE TX 76020,TX0601-010000100A,,No,,No,2025-10-06T18:04:52.000+0000,125 N ASH AVE AZLE TX
a02WR00000FcN0AYAV,528 DUNAWAY LN AZLE TX 76020,TX0601-010000067A,,No,,No,2025-10-06T18:04:52.000+0000,528 DUNAWAY LN AZLE TX
a02WR00000FcN1DYAV,532 DUNAWAY LN AZLE TX 76020,TX0601-010000125A,,No,,No,2025-10-06T18:04:52.000+0000,532 DUNAWAY LN AZLE TX
a02WR00000FcN1RYAV,534 DUNAWAY LN AZLE TX 76020,TX0601-010000032A,,No,,No,2025-10-06T18:04:52.000+0000,534 DUNAWAY LN AZLE TX
a02WR00000FcN1WYAV,535 BLUE MOUND RD E HASLET TX 76052,TX0605-018000199A,,No,,No,2025-10-06T18:04:52.000+0000,535 BLUE MOUND E RD HASLET TX
a02WR00000FcN2fYAF,536 BEVERLY RD AZLE TX 76020,TX0601-007000214A,,No,,No,2025-10-06T18:04:52.000+0000,536 BEVERLY RD AZLE TX
a02WR00000FcN2lYAF,537 BLUE MOUND RD E HASLET TX 76052,TX0605-018000186A,,No,,No,2025-10-06T18:04:52.000+0000,537 BLUE MOUND E RD HASLET TX
a02WR00000FcN2rYAF,538 DUNAWAY LN AZLE TX 76020,TX0601-010000066A,,No,,No,2025-10-06T18:04:52.000+0000,538 DUNAWAY LN AZLE TX
a02WR00000FcN4xYAF,129 N ASH AVE AZLE TX 76020,TX0601-010000111A,,No,,No,2025-10-06T18:04:52.000+0000,129 N ASH AVE AZLE TX
a02WR00000FcN5VYAV,1300 GLENWOOD DR AZLE TX 76020,TX0601-012000003A,,No,,No,2025-10-06T18:04:52.000+0000,1300 GLENWOOD DR AZLE TX
a02WR00000FcN5YYAV,1300 MELODY LN KELLER TX 76262,TX0603-002000163A,,No,,No,2025-10-06T18:04:52.000+0000,1300 MELODY LN KELLER TX
a02WR00000FcN5kYAF,13000 HILLCREST BLVD KELLER TX 76244,TX0605-009000711A,,No,,No,2025-10-06T18:04:52.000+0000,13000 HILLCREST BLVD KELLER TX
a02WR00000FcN5lYAF,13001 HILLCREST BLVD KELLER TX 76244,TX0605-007000201A,,No,,No,2025-10-06T18:04:52.000+0000,13001 HILLCREST BLVD KELLER TX
a02WR00000FcN5oYAF,1301 E AVENUE G KILLEEN TX 76541,TX1312-007000110A,,No,,No,2025-10-06T18:04:52.000+0000,1301 E AVENUE G KILLEEN TX
a02WR00000FcN6KYAV,540 DUNAWAY LN AZLE TX 76020,TX0601-010000050A,,No,,No,2025-10-06T18:04:52.000+0000,540 DUNAWAY LN AZLE TX
a02WR00000FcN8kYAF,549 BLUE MOUND RD E HASLET TX 76052,TX0605-018000180A,,No,,No,2025-10-06T18:04:52.000+0000,549 BLUE MOUND E RD HASLET TX
